id,district,latitude,longitude,area,rooms,floor,total_floors,metro_distance,distance_to_center,park_distance,school_distance,shopping_distance,year_built,building_age,building_type,renovation,ceiling_height,has_balcony,has_loggia,has_parking,has_elevator,price,price_per_sqm
3001,ТАО,55.336227,37.260594,73.3,3,19,21,0.56,60.82,2.49,1.34,2.63,1983,41,монолит,без ремонта,2.71,1,0,1,1,11786949.27,160888.93
3002,СЗАО,55.801795,37.359174,28.3,2,23,24,0.13,29.2,1.59,0.99,2.29,2013,11,панель,евроремонт,2.82,1,1,1,1,10306923.24,364570.98
3003,ВАО,55.791789,37.810527,116.3,1,11,16,0.67,21.88,0.8,1.35,0.7,1981,43,монолит,косметический,2.89,1,1,1,1,27287734.89,234624.68
3004,ЗАО,55.727363,37.46413,31.3,1,7,20,1.59,17.24,0.7,0.12,1.59,2004,20,монолит,дизайнерский,2.57,0,0,1,1,13215815.56,422690.72
3005,ВАО,55.780015,37.820456,80.7,1,15,16,0.3,22.74,0.2,1.24,2.92,1976,48,панель,дизайнерский,3.18,1,0,0,1,20710382.49,256604.88
3006,СВАО,55.878105,37.634218,61.0,2,13,17,2.06,14.12,2.22,0.96,1.68,1998,26,монолит,косметический,2.98,0,1,0,1,20144502.34,330416.6
3007,ЮВАО,55.679941,37.756481,80.5,4,9,11,0.46,17.38,1.24,0.87,0.65,1995,29,панель,без ремонта,2.95,1,0,1,1,22465967.96,279218.95
3008,НАО,55.54425,37.322633,43.7,1,4,24,0.48,40.04,2.23,0.15,2.98,2015,9,монолит,евроремонт,3.05,0,0,0,1,11069273.75,253225.64
3009,СВАО,55.878617,37.614109,50.6,2,15,15,0.51,14.06,2.27,0.71,0.84,1993,31,панель,евроремонт,2.73,1,0,0,1,16973572.51,335197.76
3010,СВАО,55.861161,37.601675,118.6,2,7,15,0.4,12.24,2.34,1.31,2.11,1970,54,панель,евроремонт,2.75,0,1,1,1,31009167.01,261487.38
3011,ЦАО,55.753603,37.642859,123.5,2,2,13,2.11,2.82,1.16,1.18,2.22,1997,27,кирпич,косметический,3.19,1,0,1,1,53378573.4,432055.17
3012,ЗАО,55.72928,37.391183,74.8,1,8,8,1.89,25.25,2.47,1.07,0.39,2022,2,монолит,косметический,2.73,1,1,1,1,26259791.43,351100.61
3013,ТАО,55.337538,37.302437,50.4,3,3,9,2.26,57.79,1.72,1.14,0.9,2014,10,панель,евроремонт,2.68,1,0,0,1,7577827.42,150240.13
3014,ТАО,55.318123,37.307358,65.8,2,3,17,1.17,59.2,0.98,0.13,2.64,2000,24,панель,евроремонт,3.12,1,0,0,1,11705196.08,177782.78
3015,ЮАО,55.62859,37.719541,80.4,3,12,24,0.43,17.77,1.47,0.33,2.88,1975,49,блочный,без ремонта,2.51,1,1,0,1,18930983.48,235316.66
3016,НАО,55.543089,37.353052,68.1,1,4,18,0.84,37.41,0.33,0.3,0.84,2017,7,монолит,евроремонт,3.16,1,1,0,1,17102540.84,251154.44
3017,ЮАО,55.615327,37.724596,121.3,2,2,11,0.74,19.27,2.42,1.2,2.64,1988,36,панель,косметический,2.91,0,0,0,1,29300127.5,241584.17
3018,ЗАО,55.706985,37.386494,41.8,2,9,11,1.51,26.12,1.47,0.88,2.76,2006,18,кирпич,евроремонт,2.59,1,0,0,1,15849294.11,379291.19
3019,СЗАО,55.834455,37.378064,71.4,1,23,23,1.51,28.11,0.51,1.39,0.39,1995,29,блочный,евроремонт,2.65,1,0,0,1,21886457.97,306728.82
3020,ВАО,55.778868,37.854682,86.6,1,5,10,0.24,26.5,1.29,1.0,0.99,2020,4,панель,евроремонт,2.52,0,1,0,1,21506098.62,248199.17
3021,ЮАО,55.626389,37.696815,101.9,1,3,9,3.1,16.49,1.62,0.3,1.79,2011,13,панель,косметический,3.15,1,0,0,1,23391725.72,229523.12
3022,ВАО,55.782022,37.773972,38.5,2,5,9,1.57,17.69,0.54,1.28,2.0,2013,11,панель,евроремонт,2.77,1,0,1,1,11004930.91,285540.05
3023,СВАО,55.854146,37.633685,86.7,1,6,17,0.62,11.48,1.3,0.15,1.85,1975,49,блочный,без ремонта,2.7,1,0,1,1,22843533.6,263558.05
3024,НАО,55.56334,37.373965,117.6,3,3,17,0.12,34.19,1.17,1.44,0.78,1990,34,панель,косметический,2.89,1,0,0,1,23702983.32,201625.74
3025,СЗАО,55.805673,37.352155,81.5,2,20,24,0.55,30.05,2.23,1.07,2.91,2002,22,блочный,косметический,3.15,1,0,0,1,22917075.34,281312.86
3026,СВАО,55.864095,37.588155,44.8,5,1,15,1.62,12.86,2.45,1.04,1.02,2000,24,монолит,косметический,2.76,1,0,0,1,14545137.38,324783.3
3027,ЮЗАО,55.626786,37.581221,73.9,1,4,16,1.4,14.47,2.22,1.11,1.61,1979,45,панель,косметический,2.71,0,1,1,1,22049065.56,298235.42
3028,ЮАО,55.658979,37.704005,41.9,5,20,24,0.52,14.1,2.25,1.35,1.55,1988,36,монолит,дизайнерский,2.72,0,1,0,1,17933421.65,428300.02
3029,ЗАО,55.739258,37.41379,48.0,2,1,20,0.35,22.66,2.3,0.96,2.85,2009,15,кирпич,дизайнерский,2.62,0,0,0,1,15745124.34,328004.64
3030,ЗАО,55.711352,37.440784,34.6,3,3,18,0.27,20.13,0.94,0.34,2.4,2014,10,панель,без ремонта,3.01,0,1,0,1,11359465.56,328430.4
3031,ЮЗАО,55.657895,37.576238,32.6,3,1,14,0.63,11.41,1.3,1.27,2.44,1992,32,кирпич,косметический,2.97,0,0,1,1,12089418.61,370413.25
3032,ЮЗАО,55.665292,37.585359,118.4,4,5,22,1.52,10.26,1.51,1.34,2.0,2008,16,кирпич,евроремонт,2.63,0,0,0,1,33414692.27,282111.82
3033,ТАО,55.348625,37.294633,53.2,5,10,15,0.68,57.35,0.5,0.91,2.9,1974,50,монолит,без ремонта,3.08,1,0,0,1,8346375.14,156882.2
3034,ЦАО,55.754314,37.608444,116.3,1,4,8,0.76,1.04,2.49,1.16,2.91,2000,24,сталинка,косметический,3.04,0,0,0,1,62158236.62,534294.98
3035,ТАО,55.33934,37.301846,122.0,1,12,16,1.48,57.67,1.73,0.4,2.48,2010,14,блочный,евроремонт,2.97,1,0,1,1,22787240.66,186779.52
3036,ЮВАО,55.702405,37.782209,133.5,1,14,17,0.12,19.09,0.82,0.64,1.08,1994,30,панель,косметический,2.71,0,1,0,1,29185430.12,218583.55
3037,СВАО,55.900189,37.610707,94.9,2,2,13,1.43,16.47,0.87,0.85,0.92,2015,9,панель,евроремонт,2.62,0,0,0,1,25237616.36,265932.62
3038,ТАО,55.361922,37.330058,36.2,1,2,14,0.59,53.78,1.16,1.15,0.42,1979,45,панель,без ремонта,2.8,1,0,1,1,5762795.73,159225.94
3039,ЦАО,55.724651,37.631593,78.4,2,1,6,0.95,3.42,1.8,1.47,2.36,2009,15,монолит,евроремонт,3.03,0,0,0,1,33751723.32,430687.96
3040,ЦАО,55.778504,37.589747,136.0,2,8,10,2.15,4.26,1.47,1.22,2.83,1952,72,сталинка,евроремонт,3.13,0,0,1,1,63441338.45,466534.53
3041,СВАО,55.858644,37.583863,100.6,2,10,21,2.69,12.41,0.39,0.52,0.32,1993,31,монолит,косметический,2.89,1,1,0,1,31633330.42,314450.12
3042,ТАО,55.32153,37.2922,124.8,3,14,17,0.99,59.89,1.23,0.57,0.62,1998,26,монолит,дизайнерский,3.01,1,0,0,1,24627768.76,197298.83
3043,ЮВАО,55.733947,37.761879,102.9,1,6,12,1.07,16.15,1.09,0.27,2.17,1998,26,панель,косметический,3.13,1,1,0,1,24887641.48,241864.79
3044,САО,55.833679,37.558294,66.6,1,3,8,0.25,11.2,1.38,0.99,2.31,2010,14,панель,косметический,2.68,1,0,0,1,20809197.12,312578.04
3045,САО,55.876035,37.526207,31.1,4,3,6,0.32,17.1,1.65,0.3,2.66,1997,27,кирпич,косметический,3.05,1,0,0,1,11598056.17,372718.68
3046,НАО,55.520299,37.372732,68.9,2,1,17,0.74,37.41,2.06,1.29,0.96,1976,48,панель,без ремонта,2.61,0,0,0,1,12009739.12,174197.04
3047,НАО,55.563465,37.374559,44.4,4,3,14,2.0,34.13,2.01,0.23,0.9,2020,4,панель,дизайнерский,2.79,0,0,1,1,11109584.21,250385.85
3048,ЮАО,55.670216,37.719376,76.6,1,16,20,0.74,14.5,1.18,0.2,2.1,2022,2,монолит,евроремонт,2.61,1,0,1,1,26825840.33,349980.16
3049,ЮВАО,55.695087,37.762856,143.2,2,11,18,0.25,17.33,0.56,0.96,0.43,1972,52,монолит,косметический,3.16,0,0,1,1,36514146.84,255001.94
3050,НАО,55.569998,37.366839,82.2,1,5,21,0.6,34.38,2.44,0.15,2.0,1992,32,панель,косметический,3.2,1,0,1,1,15949293.82,193936.21
3051,СЗАО,55.829347,37.396969,137.4,1,10,11,1.19,25.94,0.46,0.86,0.34,1972,52,блочный,косметический,3.18,0,1,0,1,33796916.53,245922.66
3052,ЗАО,55.738694,37.432156,134.0,2,1,18,0.35,20.63,1.9,0.95,0.9,1985,39,кирпич,косметический,2.66,1,0,0,1,34292230.51,255859.12
3053,СЗАО,55.823803,37.3658,84.1,3,10,13,0.76,29.05,2.33,1.16,0.44,1976,48,панель,косметический,2.8,1,1,0,1,26021925.07,309503.84
3054,ЮВАО,55.713565,37.770857,147.9,2,7,9,0.34,17.55,0.85,0.19,1.76,1991,33,панель,косметический,2.78,1,0,0,1,37763619.51,255326.23
3055,НАО,55.557174,37.382884,106.7,2,13,15,0.62,33.85,0.58,0.51,1.31,2020,4,панель,евроремонт,3.1,0,1,0,1,25240917.63,236601.44
3056,ЮВАО,55.694346,37.731443,69.8,3,5,18,0.28,14.17,0.48,1.28,1.65,1981,43,панель,евроремонт,2.53,1,0,0,1,19864967.07,284447.22
3057,ЮЗАО,55.632501,37.564543,63.3,5,8,18,0.24,14.51,2.48,1.33,2.21,1995,29,панель,косметический,2.54,0,1,0,1,16861674.7,266508.1
3058,ЦАО,55.735221,37.583396,40.0,1,18,18,2.28,4.22,0.22,0.88,2.44,2007,17,монолит,косметический,2.93,1,1,0,1,20745635.46,518198.52
3059,ЮВАО,55.701687,37.769389,63.1,2,4,10,1.4,17.76,0.77,1.28,2.25,1974,50,блочный,косметический,3.04,1,0,0,1,15999669.88,253641.67
3060,ВАО,55.814001,37.820574,82.7,1,3,10,3.08,23.57,1.15,0.36,2.24,1988,36,монолит,без ремонта,2.96,1,1,0,1,18705112.08,226105.63
3061,ЮЗАО,55.633495,37.576064,84.4,2,9,17,0.7,13.94,0.5,0.24,2.8,1990,34,кирпич,косметический,2.93,1,0,0,1,27031618.03,320371.48
3062,САО,55.827366,37.523754,147.6,2,14,21,1.86,13.35,0.94,0.68,2.96,1975,49,панель,без ремонта,3.19,1,1,1,1,47043513.43,318726.5
3063,ЦАО,55.738734,37.674221,134.9,1,6,6,0.44,6.47,2.03,0.82,0.73,1946,78,кирпич,косметический,3.08,0,0,0,1,54030697.81,400413.63
3064,СЗАО,55.843815,37.400834,140.7,1,5,16,0.38,26.12,0.79,1.01,0.74,2003,21,панель,косметический,3.18,1,1,1,1,32602569.27,231754.93
3065,САО,55.838251,37.498938,96.2,1,3,10,1.51,16.27,1.27,1.49,0.92,1969,55,монолит,без ремонта,2.97,0,1,1,1,31065228.5,322766.64
3066,ТАО,55.329037,37.301174,73.9,1,8,9,0.86,58.63,1.69,1.23,2.73,1995,29,панель,евроремонт,2.9,1,0,0,1,11136944.02,150760.73
3067,ТАО,55.323483,37.304654,81.3,2,6,11,1.01,58.89,0.64,0.15,2.44,1972,52,панель,евроремонт,2.94,1,0,0,1,12681064.01,155986.16
3068,НАО,55.572357,37.364315,122.9,4,15,18,0.69,34.46,2.01,0.71,1.99,2021,3,блочный,косметический,3.09,1,0,1,1,25715484.12,209216.37
3069,ЮАО,55.627772,37.701345,79.4,1,3,18,1.52,16.64,2.43,0.55,0.59,2012,12,блочный,евроремонт,2.74,0,1,1,1,24498931.87,308392.04
3070,ВАО,55.778157,37.80437,128.4,4,11,19,0.6,20.94,1.25,0.35,2.6,2001,23,блочный,косметический,2.81,1,0,0,1,30971348.86,241217.13
3071,САО,55.82074,37.533996,56.0,1,6,13,0.44,12.01,0.68,1.03,2.41,2009,15,кирпич,косметический,2.8,1,0,0,1,19260280.7,343699.86
3072,ЮЗАО,55.657894,37.551801,84.6,2,2,10,0.36,12.74,1.66,1.14,0.9,2020,4,монолит,евроремонт,2.9,1,0,0,1,23371016.89,276303.97
3073,НАО,55.558347,37.360865,66.9,1,8,11,0.49,35.69,1.69,1.38,2.84,2012,12,монолит,евроремонт,2.66,1,0,0,1,12335742.57,184465.15
3074,ВАО,55.782511,37.82942,85.0,2,2,9,0.86,23.77,1.82,0.24,1.32,1992,32,монолит,косметический,3.1,1,1,1,1,21259936.93,250051.05
3075,СЗАО,55.831741,37.408994,86.5,3,20,20,0.27,24.78,2.31,0.11,0.83,2000,24,блочный,евроремонт,2.96,1,0,1,1,23603731.92,272972.45
3076,ТАО,55.301177,37.31548,30.0,3,2,16,0.1,60.23,0.77,0.53,2.49,1993,31,монолит,евроремонт,3.05,1,1,0,1,7450684.09,248097.41
3077,ЗАО,55.714111,37.449897,54.9,1,1,5,0.56,19.07,2.25,0.14,2.88,1993,31,кирпич,без ремонта,2.72,0,0,0,0,16250309.87,295752.23
3078,САО,55.843238,37.480285,30.2,1,2,21,0.17,18.29,1.16,1.46,2.29,2003,21,панель,косметический,2.54,0,0,0,1,8827299.63,292064.28
3079,ВАО,55.778025,37.806716,125.8,1,5,23,0.13,21.2,0.29,0.87,0.55,2012,12,монолит,евроремонт,3.01,1,0,1,1,30489231.2,242324.6
3080,СЗАО,55.820553,37.362335,74.7,2,5,9,0.96,29.33,0.73,0.44,2.01,1983,41,блочный,без ремонта,2.69,1,1,0,1,17385172.46,232873.47
3081,ВАО,55.8009,37.826353,116.7,2,14,22,0.83,23.81,0.32,0.58,1.15,2011,13,монолит,евроремонт,3.09,1,0,0,1,28618198.08,245180.11
3082,НАО,55.557414,37.353653,60.6,1,11,20,4.72,36.39,1.67,0.25,2.52,1978,46,монолит,без ремонта,2.88,0,1,1,1,11586011.42,191252.58
3083,ЮАО,55.62771,37.735234,31.0,1,16,17,2.48,19.0,2.33,0.52,0.31,2005,19,панель,дизайнерский,2.78,1,0,0,1,12563131.18,405294.71
3084,СВАО,55.888186,37.611483,120.4,1,12,17,0.25,15.13,0.27,0.31,1.74,2005,19,панель,косметический,3.13,1,1,0,1,33696160.43,279934.49
3085,ЗАО,55.707376,37.456982,35.6,5,3,5,1.02,18.49,2.0,1.23,1.24,2014,10,монолит,дизайнерский,2.81,1,1,1,0,17950890.62,504264.79
3086,ЮАО,55.64458,37.753963,38.9,2,11,16,1.3,19.28,1.36,0.77,2.24,2010,14,монолит,косметический,3.1,1,0,1,1,14659308.19,376858.68
3087,ЗАО,55.714301,37.444196,97.2,3,7,10,0.84,19.69,1.69,0.91,1.4,1973,51,кирпич,евроремонт,3.07,1,0,0,1,34166448.05,351635.15
3088,ЗАО,55.710211,37.396583,128.8,4,11,11,0.18,24.96,0.54,0.38,1.73,1982,42,кирпич,без ремонта,2.99,1,1,0,1,36915147.59,286618.93
3089,ЗАО,55.696319,37.436271,104.1,1,6,13,1.26,21.04,1.53,0.13,0.86,2008,16,кирпич,евроремонт,2.94,1,0,0,1,31809087.89,305570.09
3090,ЮЗАО,55.667001,37.572842,125.8,1,7,24,0.1,10.66,0.96,0.19,2.25,2015,9,панель,дизайнерский,2.94,0,0,0,1,32273277.59,256532.34
3091,САО,55.849641,37.536753,148.5,1,2,6,1.18,14.06,1.72,1.33,1.84,2001,23,панель,евроремонт,2.94,0,0,0,1,47386925.36,319040.87
3092,ЗАО,55.684103,37.418694,94.0,1,16,21,1.18,23.32,0.99,0.64,0.51,2000,24,монолит,косметический,2.56,1,1,1,1,31702148.25,337371.24
3093,ЮВАО,55.691392,37.760973,104.2,2,10,12,4.14,17.29,1.93,0.78,0.44,1997,27,блочный,косметический,3.17,1,1,0,1,24835968.3,238241.4
3094,САО,55.832173,37.527162,115.1,3,3,10,0.43,13.41,0.53,0.23,0.49,2021,3,панель,косметический,2.58,1,1,0,1,35199733.37,305695.73
3095,ЮАО,55.623192,37.73684,47.6,3,5,11,1.26,19.49,0.92,0.59,0.81,1974,50,монолит,без ремонта,2.65,1,0,1,1,14388331.76,301964.23
3096,ТАО,55.307144,37.321958,147.0,2,19,19,1.7,59.28,1.81,1.35,0.53,1979,45,монолит,без ремонта,2.84,1,0,0,1,20995909.69,142832.53
3097,ЦАО,55.750792,37.628731,90.2,2,4,8,0.33,1.25,1.85,0.26,2.2,1987,37,монолит,косметический,3.04,0,0,0,1,42202986.43,467887.84
3098,САО,55.870975,37.473149,116.3,4,11,15,1.94,20.76,0.95,1.48,1.38,1977,47,панель,евроремонт,3.01,0,1,0,1,36625097.67,314836.46
3099,ЮАО,55.634912,37.713372,128.6,1,1,21,0.55,16.8,2.07,0.21,2.48,2014,10,панель,евроремонт,2.81,0,0,1,1,39074398.59,303878.8
3100,ЦАО,55.757944,37.581151,134.3,1,10,15,0.44,4.09,1.33,1.41,0.36,1981,43,кирпич,без ремонта,2.83,0,1,1,1,58818960.29,438113.34
3101,ЦАО,55.754712,37.610776,56.8,2,2,19,2.62,0.8,2.03,0.21,2.2,1970,54,сталинка,косметический,2.85,1,1,1,1,26062289.89,458762.04
3102,СВАО,55.872863,37.603028,29.6,1,4,18,1.27,13.51,1.46,0.27,1.31,1984,40,панель,дизайнерский,2.89,1,1,0,1,12964374.68,437333.42
3103,ЮЗАО,55.671911,37.5878,40.9,2,22,22,2.83,9.48,0.24,0.24,0.78,2004,20,монолит,косметический,2.71,1,1,0,1,13252819.37,323872.42
3104,ЦАО,55.751476,37.628367,93.4,1,12,22,0.9,1.21,1.93,0.72,0.97,2018,6,кирпич,косметический,2.71,1,0,0,1,41020786.66,439254.13
3105,САО,55.873309,37.50199,60.1,2,8,11,0.37,18.59,0.85,1.48,0.66,2020,4,монолит,евроремонт,2.97,1,0,1,1,25324305.37,421718.97
3106,ЗАО,55.703885,37.444783,142.2,1,5,9,0.94,19.9,1.68,0.39,2.16,2007,17,панель,косметический,3.07,1,0,0,1,37850240.9,266173.25
3107,ЮЗАО,55.640647,37.590519,25.3,2,19,22,1.24,12.72,1.92,1.42,1.48,2002,22,кирпич,евроремонт,2.8,1,0,0,1,11718379.39,462642.36
3108,ВАО,55.774936,37.816848,123.8,3,3,9,0.12,22.27,0.51,0.55,2.8,2015,9,панель,косметический,2.83,1,0,0,1,27233257.28,220001.9
3109,НАО,55.550677,37.394057,50.3,3,15,22,0.71,33.38,0.27,0.57,2.28,2009,15,блочный,без ремонта,2.91,1,1,0,1,9767878.37,194185.4
3110,ЮВАО,55.717524,37.750722,140.8,1,4,21,1.3,15.27,1.62,0.62,2.74,1993,31,блочный,евроремонт,2.96,0,0,0,1,38841744.88,275803.21
3111,ЮВАО,55.716107,37.80317,131.7,1,5,9,0.42,20.99,1.85,0.72,2.79,2008,16,монолит,косметический,3.08,1,0,1,1,37294859.7,283075.52
3112,НАО,55.561944,37.357511,35.5,3,3,18,0.41,35.75,1.23,1.28,2.27,2016,8,монолит,евроремонт,2.88,0,0,0,1,8106017.12,228526.04
3113,СЗАО,55.833066,37.419235,93.9,2,9,14,1.29,23.78,0.95,0.41,0.48,1980,44,панель,без ремонта,3.02,1,0,0,1,21339066.14,227310.05
3114,ТАО,55.330192,37.309529,87.8,2,1,23,0.59,57.97,1.57,1.15,2.87,1997,27,панель,косметический,3.0,1,0,0,1,14050633.14,160058.46
3115,НАО,55.511686,37.377524,148.7,3,16,19,1.32,37.7,1.21,1.32,0.38,1978,46,монолит,косметический,2.96,1,0,0,1,27894281.47,187621.94
3116,ЮАО,55.641113,37.723728,116.1,2,11,22,1.5,17.05,0.49,0.64,0.44,1998,26,блочный,без ремонта,3.13,1,1,0,1,34453442.72,296747.65
3117,САО,55.837977,37.507841,146.6,1,7,7,0.84,15.47,2.34,0.52,1.66,1965,59,панель,без ремонта,2.76,0,0,0,1,43455217.16,296441.96
3118,ЮВАО,55.685496,37.741971,113.4,1,4,18,0.81,15.66,1.33,0.75,1.44,1993,31,монолит,евроремонт,2.7,1,0,0,1,30905739.85,272442.09
3119,ЦАО,55.768215,37.634285,76.9,2,3,16,3.72,2.59,0.89,0.79,2.81,1999,25,сталинка,без ремонта,2.9,1,1,1,1,33335181.17,433434.83
3120,ЮЗАО,55.681147,37.569147,117.1,3,1,14,0.5,9.52,1.77,0.12,2.01,1986,38,панель,дизайнерский,2.96,1,0,0,1,37070434.79,316663.12
3121,НАО,55.568994,37.343017,122.0,3,9,11,0.61,36.62,0.44,0.8,2.2,1981,43,панель,евроремонт,3.11,1,1,0,1,24752124.77,202957.43
3122,НАО,55.536353,37.343823,143.8,3,10,20,0.15,38.68,2.12,1.38,2.56,1972,52,панель,без ремонта,3.17,1,0,0,1,25214262.95,175362.22
3123,ЮЗАО,55.640901,37.580255,25.3,2,19,23,0.21,13.01,1.43,0.54,2.56,1985,39,монолит,евроремонт,2.78,1,0,0,1,11091512.93,438880.87
3124,ТАО,55.322811,37.305648,112.2,4,7,16,0.74,58.89,1.59,1.09,1.34,1974,50,монолит,без ремонта,2.89,1,1,1,1,16588091.95,147813.87
3125,ТАО,55.344201,37.334629,109.5,1,10,10,0.8,55.09,2.04,0.14,1.48,2018,6,монолит,евроремонт,2.99,1,0,0,1,19434218.9,177406.68
3126,СЗАО,55.836737,37.400339,25.8,2,7,23,0.4,25.87,2.33,1.5,1.78,2007,17,панель,косметический,3.01,1,0,1,1,8692405.26,336591.43
3127,ЮЗАО,55.634311,37.569774,114.1,2,8,11,2.4,14.1,0.72,0.24,0.86,1975,49,монолит,без ремонта,2.52,0,1,0,1,29250310.78,256273.91
3128,САО,55.844146,37.497378,117.7,2,10,15,2.3,16.8,1.21,0.5,1.67,1989,35,монолит,дизайнерский,2.87,1,0,0,1,33634940.24,285785.75
3129,СВАО,55.856595,37.595498,35.9,3,13,13,1.34,11.86,1.53,1.15,2.41,1988,36,монолит,евроремонт,3.03,1,0,0,1,15071566.09,419871.98
3130,СВАО,55.868172,37.620554,107.3,2,18,18,0.68,12.9,2.23,0.21,1.08,2016,8,панель,без ремонта,2.52,1,0,0,1,27422378.64,255638.85
3131,ТАО,55.340069,37.323152,66.7,1,9,20,0.25,56.2,0.85,0.59,1.53,1972,52,панель,дизайнерский,2.56,0,1,1,1,12427788.22,186425.47
3132,ЮВАО,55.711244,37.777871,124.9,5,15,22,0.97,18.37,1.07,0.94,2.68,2004,20,блочный,косметический,2.9,1,0,0,1,33066293.82,264829.66
3133,ЮЗАО,55.638069,37.569714,145.7,2,7,13,0.95,13.71,0.45,0.49,0.73,1963,61,панель,косметический,2.9,1,1,0,1,38469048.15,263939.39
3134,ВАО,55.795845,37.777904,126.7,2,12,15,0.23,18.46,0.64,1.14,1.24,1971,53,монолит,косметический,2.76,0,0,0,1,37101723.35,292734.77
3135,СЗАО,55.844225,37.403551,31.9,2,9,21,0.23,25.86,0.57,0.94,0.76,2007,17,монолит,евроремонт,3.16,0,0,0,1,10146952.09,318231.82
3136,СВАО,55.858668,37.613231,47.4,1,7,23,1.31,11.85,2.18,1.32,2.85,2022,2,монолит,евроремонт,2.89,1,1,0,1,16631017.45,350534.12
3137,ЦАО,55.751637,37.619837,88.2,3,9,15,0.21,0.26,2.19,1.46,1.18,1975,49,кирпич,косметический,3.08,1,0,0,1,41541380.72,470733.07
3138,ВАО,55.80664,37.828834,123.8,2,5,15,0.12,24.23,2.26,0.7,1.92,1972,52,панель,евроремонт,2.61,0,0,0,1,34450031.07,278334.09
3139,ЮВАО,55.693533,37.757544,77.9,3,9,23,0.81,16.85,1.71,1.36,1.99,1994,30,монолит,евроремонт,2.86,1,1,0,1,24195095.38,310507.31
3140,ЮВАО,55.702765,37.76901,66.9,2,6,19,0.6,17.68,0.28,0.37,2.17,1988,36,блочный,без ремонта,3.14,0,0,0,1,17501301.14,261654.66
3141,ЦАО,55.746387,37.636195,134.3,2,11,19,2.34,2.17,0.61,0.76,1.56,1973,51,сталинка,без ремонта,2.75,0,0,1,1,68648644.61,511000.26
3142,СЗАО,55.825634,37.392586,46.6,1,1,22,1.98,26.27,1.98,0.61,2.78,1974,50,панель,дизайнерский,2.78,1,1,0,1,13193695.13,283039.83
3143,ВАО,55.805884,37.824361,68.4,2,19,24,0.88,23.73,0.93,0.22,1.47,2018,6,панель,евроремонт,2.8,1,0,0,1,17503775.49,255855.1
3144,САО,55.870307,37.536535,57.3,2,5,5,1.01,15.91,1.5,0.45,1.4,1978,46,панель,евроремонт,2.74,0,1,0,1,20407093.74,356300.75
3145,ТАО,55.327224,37.300148,114.0,3,12,16,0.46,58.86,1.31,1.18,2.52,1975,49,панель,косметический,3.02,1,0,1,1,20332058.81,178352.2
3146,ЗАО,55.726951,37.421032,129.1,3,22,22,0.44,21.98,1.2,0.84,0.97,1977,47,панель,косметический,3.05,1,0,0,1,43271324.9,335172.07
3147,НАО,55.543082,37.399069,135.2,2,3,12,2.82,33.55,2.11,0.39,1.62,2015,9,панель,дизайнерский,3.15,1,1,0,1,26378819.55,195135.12
3148,ТАО,55.346397,37.315912,47.3,2,22,24,0.4,56.1,1.0,1.38,2.98,2007,17,панель,евроремонт,3.11,1,1,0,1,8390109.58,177481.5
3149,ВАО,55.78407,37.83029,78.3,5,3,11,1.62,23.89,0.71,0.54,1.36,1992,32,панель,косметический,2.74,1,0,0,1,18488950.28,236128.54
3150,СВАО,55.850181,37.626367,72.7,3,3,15,0.17,10.94,1.44,1.08,2.76,1985,39,блочный,без ремонта,2.74,1,1,0,1,20365743.69,280182.91
3151,ЦАО,55.766553,37.591092,108.0,1,4,22,0.22,3.35,1.79,1.23,1.05,1968,56,сталинка,без ремонта,2.62,0,0,1,1,57564630.02,533101.7
3152,ЮВАО,55.695366,37.773615,107.7,1,9,22,0.69,18.43,0.26,0.2,2.57,2013,11,панель,евроремонт,2.65,0,0,0,1,29853400.04,277304.1
3153,ТАО,55.31187,37.294909,83.8,1,4,13,0.16,60.57,1.82,0.49,1.71,2001,23,блочный,без ремонта,2.63,1,1,1,1,12161563.84,145088.27
3154,ЗАО,55.714393,37.461816,97.9,1,13,13,0.46,17.78,1.72,1.03,0.45,1991,33,монолит,косметический,2.8,1,0,0,1,30605698.87,312511.73
3155,СВАО,55.859639,37.609246,144.9,1,6,15,0.86,11.98,0.34,0.58,2.85,2021,3,панель,евроремонт,2.92,1,1,0,1,37139337.8,256248.7
3156,ЗАО,55.696515,37.443721,113.3,1,4,17,1.29,20.25,2.11,0.58,0.86,1982,42,панель,косметический,3.18,1,0,1,1,37214148.61,328382.44
3157,СЗАО,55.842023,37.38899,55.8,1,4,16,1.81,27.26,1.73,0.73,2.51,2011,13,панель,косметический,2.52,0,0,1,1,13614637.49,244177.63
3158,САО,55.845735,37.554114,89.1,3,3,5,0.98,12.56,1.4,0.91,0.58,2017,7,монолит,без ремонта,2.59,1,0,0,1,28498167.58,319960.92
3159,СЗАО,55.832404,37.415826,122.8,5,4,18,0.32,24.1,1.8,0.44,0.55,2000,24,панель,евроремонт,2.63,1,0,0,1,33045395.21,269071.42
3160,ЗАО,55.703202,37.422034,121.7,2,5,10,0.26,22.36,1.57,0.98,1.6,1992,32,панель,дизайнерский,3.2,1,0,1,1,43213721.39,355172.02
3161,ВАО,55.793933,37.838761,126.4,3,10,23,1.88,25.0,2.08,1.29,1.65,2011,13,панель,дизайнерский,3.1,0,0,0,1,30085536.72,237991.74
3162,ЗАО,55.693795,37.429466,136.2,2,11,22,0.19,21.85,1.93,0.54,1.94,1975,49,монолит,евроремонт,2.91,1,0,1,1,47226988.23,346742.75
